Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10057_001,SE_A10047_001,SE_A10047_002,SE_A10047_003,SE_A10047_004,SE_A10044_001,SE_A10044_002,SE_A10044_003,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_A10001_001,SE_A14024_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A10003B_001,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A10059B_001,SE_A10059B_002,SE_A10059B_003,SE_A10059B_004,SE_A10059B_005,SE_A10059B_006,SE_A10059B_007,SE_A10059B_008,SE_A10059B_009,SE_A10059B_010,SE_A10059B_011,SE_A10056B_001,SE_A10056B_002,SE_A10056B_003,SE_A10056B_004,SE_A10056B_005,SE_A10056B_006,SE_A10056B_007,SE_A10046B_001,SE_A10046B_002,SE_A10046B_003,SE_A10046B_004,SE_A10046B_005,SE_A10046B_006,SE_A10043B_001,SE_A10043B_002,SE_A10043B_003,SE_A10043B_004,SE_A10043B_005,SE_A10043B_006,SE_A10043B_007,SE_A10043B_008,SE_A10043B_009,SE_A10043B_010,SE_A10042B_001,SE_A10042B_002,SE_A10042B_003,SE_A10042B_004,SE_A10042B_005,SE_A10042B_006,SE_A10042B_007,SE_A10054B_001,SE_A10054B_002,SE_A10054B_003,SE_A10054B_004,SE_A10054B_005,SE_A10054B_006,SE_A10054B_007
"361090001001","Block Group 1, Census Tract 1, Tompkins County, New York","ny","150","00",,,,"36","109",,,"000100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1993,104,0,0,104,1056,952,104,952,26,926,1056,54824,1221,13065.94,0.0934490816173666,1.24,811,772,39,926,0,222,149,177,112,6,41,35,23,161,926,218,433,257,3,0,15,926,597,329,0,0,0,926,207,259,211,139,44,34,0,21,11,926,232,460,152,50,0,32,926,381,461,39,21,24,0
"361090001002","Block Group 2, Census Tract 1, Tompkins County, New York","ny","150","00",,,,"36","109",,,"000100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1961,62,0,0,62,571,509,62,509,10,499,571,30439,663,6398.606,0.103616310191399,1.28,397,377,20,499,0,42,31,99,20,83,12,11,29,172,499,44,225,207,0,23,0,499,420,79,0,0,0,499,49,121,43,220,20,31,0,0,15,499,90,217,157,20,0,15,499,186,297,16,0,0,0
"361090002011","Block Group 1, Census Tract 2.01, Tompkins County, New York","ny","150","00",,,,"36","109",,,"000201","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1995,109,0,0,109,1039,930,109,930,0,930,1039,17483,1684,71402.33,0.0235846652571363,1.81,985,985,0,930,0,184,90,392,48,64,0,73,0,79,930,184,517,201,0,28,0,930,413,427,90,0,0,930,26,14,259,256,81,0,21,212,61,930,26,81,511,64,187,61,930,424,405,37,0,43,21
"361090002012","Block Group 2, Census Tract 2.01, Tompkins County, New York","ny","150","00",,,,"36","109",,,"000201","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1991,34,0,0,34,354,320,34,320,0,320,354,6150,1326,36675.82,0.0361546076661359,2.46,428,428,0,320,0,12,32,141,22,0,0,71,0,42,320,12,238,70,0,0,0,320,119,201,0,0,0,320,22,0,138,12,59,89,0,0,0,320,22,63,190,12,33,0,320,169,151,0,0,0,0
"361090002021","Block Group 1, Census Tract 2.02, Tompkins County, New York","ny","150","00",,,,"36","109",,,"000202","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1938,148,41,0,107,602,454,148,454,112,342,602,16669,1281,18926.7,0.0676821668671824,2.83,660,660,0,342,0,9,7,53,28,25,0,22,0,198,342,54,150,124,0,14,0,342,130,212,0,0,0,342,28,36,13,107,14,9,0,0,135,342,28,57,113,63,27,54,342,75,96,54,63,54,0
"361090002022","Block Group 2, Census Tract 2.02, Tompkins County, New York","ny","150","00",,,,"36","109",,,"000202","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1938,101,0,0,101,443,342,101,342,82,260,443,35491,454,10765.73,0.0421708517568421,1.35,281,258,23,260,0,0,0,0,0,45,0,40,0,175,260,65,77,118,0,0,0,260,210,50,0,0,0,260,0,115,0,109,24,0,0,0,12,260,0,179,69,0,12,0,260,98,126,24,0,0,12
"361090003001","Block Group 1, Census Tract 3, Tompkins County, New York","ny","150","00",,,,"36","109",,,"000300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1959,0,0,0,0,214,214,0,214,76,138,214,6731,3069,2044.385,1.50118533367722,2.72,1064,984,80,138,0,0,4,74,11,0,4,7,0,38,138,15,64,27,11,21,0,138,81,47,0,0,10,138,10,0,19,48,34,6,0,11,10,138,10,9,73,42,4,0,138,85,18,35,0,0,0
"361090004001","Block Group 1, Census Tract 4, Tompkins County, New York","ny","150","00",,,,"36","109",,,"000400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1984,7,0,0,7,294,287,7,287,54,233,294,9406,4474,2891.333,1.54738284501704,2.62,1129,1118,11,233,0,15,9,46,71,9,29,37,17,0,233,23,130,80,0,0,0,233,121,85,27,0,0,233,3,64,73,64,10,11,0,2,6,233,3,72,145,7,0,6,233,81,136,16,0,0,0
"361090005001","Block Group 1, Census Tract 5, Tompkins County, New York","ny","150","00",,,,"36","109",,,"000500","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1966,87,33,0,54,676,589,87,589,376,213,676,46793,1337,1632.442,0.819018466494825,1.86,723,708,15,213,0,0,38,44,32,44,32,23,0,0,213,9,88,91,25,0,0,213,117,96,0,0,0,213,0,15,52,58,30,8,34,0,16,213,0,45,86,66,0,16,213,4,157,36,16,0,0
"361090005002","Block Group 2, Census Tract 5, Tompkins County, New York","ny","150","00",,,,"36","109",,,"000500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1976,48,0,0,48,643,595,48,595,244,351,643,86808,1246,4073.809,0.30585624334939,1.49,665,647,18,351,0,19,0,78,74,108,50,0,18,4,351,66,94,143,47,1,0,351,244,107,0,0,0,351,15,54,106,86,45,38,7,0,0,351,15,125,203,8,0,0,351,79,181,91,0,0,0
