"placeId","cid","title","street","city","state","categoryName","temporarilyClosed","reviewsCount","price","imagesCount","isAdvertisement","description","permanentlyClosed","url","rank","totalScore","location/lat","location/lng"
"ChIJLwLBOY6B0IkREaLWj7kfkOI","16325583531060666897","Green Castle Asian Market Collegetown","321 Eddy St","Ithaca","New York","Asian grocery store","false","41",,"19","false",,"false","https://www.google.com/maps/place/Green+Castle+Asian+Market+Collegetown/@42.4415408,-76.487266,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818e39c1022f:0xe2901fb98fd6a211!8m2!3d42.4415408!4d-76.487266!16s%2Fg%2F11cmc2p_yd?hl=en&entry=ttu","20","4.6","42.4415408","-76.487266"
"ChIJzX7M3fiB0IkR_Q97uYUpkmY","7391015592787644413","Jansen's Market","306 West Ave","Ithaca","New York","Convenience store","false","5",,"1","false",,"false","https://www.google.com/maps/place/Jansen's+Market/@42.4464911,-76.4879772,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081f8ddcc7ecd:0x66922985b97b0ffd!8m2!3d42.4464911!4d-76.4879772!16s%2Fg%2F11q432st30?hl=en&entry=ttu","19","3.6","42.4464911","-76.4879772"
"ChIJ10jKm3mB0IkRXd6bwHYWrE8","5740988324283932253","Indian Grocery Store","428 Eddy St","Ithaca","New York","Indian grocery store","false","43",,"44","false",,"false","https://www.google.com/maps/place/Indian+Grocery+Store/@42.4422441,-76.4876416,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081799bca48d7:0x4fac1676c09bde5d!8m2!3d42.4422441!4d-76.4876416!16s%2Fg%2F11q3gxhrk9?hl=en&entry=ttu","18","4.7","42.4422441","-76.4876416"
"ChIJ-b2UxxuB0IkRfy12a9dywKA","11583384511143357823","Winli Supermarket","374 Elmira Rd","Ithaca","New York","Asian grocery store","false","201",,"39","false",,"false","https://www.google.com/maps/place/Winli+Supermarket/@42.4214214,-76.5181665,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0811bc794bdf9:0xa0c072d76b762d7f!8m2!3d42.4214214!4d-76.5181665!16s%2Fg%2F1thzpwkq?hl=en&entry=ttu","19","4.5","42.4214214","-76.5181665"
"ChIJaXyGZZd62okR3msMwgZTX_o","18041229920759999454","Clarks Food Mart","33 North St","Dryden","New York","Grocery store","false","58",,"14","false",,"false","https://www.google.com/maps/place/Clarks+Food+Mart/@42.4944999,-76.2988656,17z/data=!3m1!4b1!4m6!3m5!1s0x89da7a9765867c69:0xfa5f5306c20c6bde!8m2!3d42.4944999!4d-76.2988656!16s%2Fg%2F11c6pk_yqs?hl=en&entry=ttu","17","3.4","42.4944999","-76.2988656"
"ChIJVVVVWpuB0IkRA15j1USDG1I","5916466867142352387","Garden Gate Delivery","101 E Green St","Ithaca","New York","Grocery store","false","2",,"1","false",,"false","https://www.google.com/maps/place/Garden+Gate+Delivery/@42.4385288,-76.49876,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0819b5a555555:0x521b8344d5635e03!8m2!3d42.4385288!4d-76.49876!16s%2Fg%2F1th7nwkc?hl=en&entry=ttu","17","4","42.4385288","-76.49876"
"ChIJFVmslM-B0IkRALQsjxsI36A","11591992880334156800","Ren's Mart","701 W Buffalo St","Ithaca","New York","Grocery store","false","161",,"63","false",,"false","https://www.google.com/maps/place/Ren's+Mart/@42.4406707,-76.5111116,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081cf94ac5915:0xa0df081b8f2cb400!8m2!3d42.4406707!4d-76.5111116!16s%2Fg%2F11qnjc6tn9?hl=en&entry=ttu","19","4.6","42.4406707","-76.5111116"
"ChIJ1fTWkf2P0IkRc-4i8Xg4heY","16610744892718771827","Trumansburg Main Street Market","21 E Main St","Trumansburg","New York","Restaurant","false","81","$","26","false",,"false","https://www.google.com/maps/place/Trumansburg+Main+Street+Market/@42.5419925,-76.6616787,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08ffd91d6f4d5:0xe6853878f122ee73!8m2!3d42.5419925!4d-76.6616787!16s%2Fg%2F11j12025cg?hl=en&entry=ttu","14","4.7","42.5419925","-76.6616787"
"ChIJVU_LJFyB0IkR0GBOtU1kqUc","5163768732674056400","Trader Joe's","744 S Meadow St","Ithaca","New York","Grocery store","false","673","Specialty grocer with housebrand items","186","false","Grocery chain with a variety of signature items, plus produce, dairy & more (most sell wine & beer).","false","https://www.google.com/maps/place/Trader+Joe's/@42.4286126,-76.5102582,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0815c24cb4f55:0x47a9644db54e60d0!8m2!3d42.4286126!4d-76.5102582!16s%2Fg%2F11nc9rvmj8?hl=en&entry=ttu","13","4.6","42.4286126","-76.5102582"
"ChIJx_Ndjkd-2okRwvBvOnoTu44","10284835589718012098","Brookton's Market","491 Brooktondale Rd","Brooktondale","New York","Grocery store","false","260",,"113","false",,"false","https://www.google.com/maps/place/Brookton's+Market/@42.3817172,-76.3966991,17z/data=!3m1!4b1!4m6!3m5!1s0x89da7e478e5df3c7:0x8ebb137a3a6ff0c2!8m2!3d42.3817172!4d-76.3966991!16s%2Fg%2F1tls3t_4?hl=en&entry=ttu","2","4.6","42.3817172","-76.3966991"
