OID_,Total_PublicTransitTime,Properties_Name,Properties_DistanceToNetworkInMeters
1,32.964265708053141,809 S Aurora St,39.605924320992344
2,18.726651600539014,419 Triphammer Rd,39.790882537511955
3,27.153197411936549,517 S Aurora St,17.950931881172892
4,31.883100629931366,3 Hudson Pl,37.485246070162148
5,52.595182165047270,600 Warren Rd Apt 4-2,56.739090726917254
6,17.515750564385772,114 Stewart Ave,24.626319671411473
7,50.181615715111292,2250 N Triphammer Rd,61.316078223717611
8,57.360842316949395,601 Winston Ct Apt 1,26.515731209736039
9,54.610920782091092,37 Uptown Rd Apt 16D,123.469071578474555
10,39.820772428021748,918 Danby Rd,33.840851490686468
11,68.269495776869363,700 Warren Rd # 18-2,31.190224181906999
12,21.522298036160514,704 Triphammer Rd,31.346927555087902
13,28.047412799114131,607 S Aurora St,61.209769421347936
14,95.763087175531354,1601 E Shore Dr,110.072622032257783
15,34.030382887438471,815 S Aurora St,60.749388833540976
16,23.199458867098837,220 Giles St,25.172525670083875
17,46.697986755632286,320 Blackstone Ave,44.393874640415760
18,31.550472473075775,648 Hudson Upstairs St Unit 648,27.459081621936789
19,34.172501164802163,815 S Aurora St Unit A301,38.898893749936455
20,34.172501164802163,815 S Aurora St Unit A307,38.898893749936455
21,34.172501164802163,815 S Aurora St Unit A01,38.898893749936455
22,62.323534079155031,114 Birdseye View Dr,30.889838014278766
23,209.607405090968797,43 Fiddlers Rdg,140.911354389904773
24,13.895580057691197,202 Linden Ave Unit 303,19.681585544020614
25,34.172501164802163,815 S Aurora St Unit A207,38.898893749936455
26,24.779195792939372,217 Columbia St,38.508773523209427
27,13.858124394047111,126 College Ave Unit 401,22.674034865158927
28,28.260745163524827,218 Pleasant St,26.999233541069657
29,36.153682590171741,135 Coddington Rd,27.230497671219275
30,26.467005673125545,504 S Aurora St,26.809269768861984
31,27.056417913009280,117 Prospect St,21.190707232017001
32,16.105692288006814,708 E Seneca-3 708 Sen St E # 1-2,34.411874775918271
33,50.181615715111292,2250 N Triphammer Rd Apt K2,115.628189980770699
34,71.793025390504042,1 Candlewyck Dr,28.080239144859657
35,83.151146663628907,166 Bush Ln,52.483791876885675
36,27.210113415676769,115 Prospect St # 1,24.561771705623588
37,35.134800714300120,402 Esty St,27.187980980214689
38,19.377785097448619,116 Ferris Pl Apt 3,14.840581574641474
39,27.210113415676769,115 Prospect St # 2,24.561771705623588
40,17.686263037601023,106-112 S Quarry St,0.157201715503283
41,19.322464065731037,116 Ferris Pl Apt 2,18.727958471251402
42,13.206968728943055,218 Delaware Ave Apt 4,37.410470082201904
43,20.061332637574768,112-114 Schuyler Pl,18.675109211900612
44,19.378392767271709,118 Ferris Pl Apt 2,20.222940468906021
45,11.981219110812260,238 Dryden Rd Unit 201,20.034835681264834
46,13.175488498091214,218 Delaware Ave,38.194487298045665
47,27.959753199042684,104 Lake Ave,21.871541365739038
48,11.132412201751821,214 Dryden Rd,32.527223270438917
49,11.981219110812260,238 Dryden Rd Unit G01,20.034835681264834
50,19.452433109712782,118 Ferris Pl,26.315573113268464
51,13.895580057691197,202 Linden-4 Bedroom Btb Ave Unit 203,19.681585544020614
52,26.541744397877512,124 Sears St Apt 1,15.891243170407083
53,32.062742595496545,506 S Cayuga St Apt 1,16.556376359194466
54,19.378392767271709,118 Ferris Pl Apt 1,20.222940468906021
55,11.981219110812260,238 Dryden Rd Unit 402,20.034835681264834
56,34.172501164802163,815 S Aurora St Unit A206,38.898893749936455
57,11.981219110812260,238 Dryden Rd Unit 102,20.034835681264834
58,11.981219110812260,238 Dryden Rd Unit 302,20.034835681264834
59,34.172501164802163,815 S Aurora St Unit B301,38.898893749936455
60,34.172501164802163,815 S Aurora St Unit A203,38.898893749936455
61,31.506088114095785,702 Hudson Bedroom Downstairs St Unit 3,30.955801970873125
62,34.172501164802163,815 S Aurora St Unit A204,38.898893749936455
63,34.172501164802163,815 S Aurora St Unit A205,38.898893749936455
64,31.506088114095785,702 Hudson St Unit 2,30.955801970873125
65,34.172501164802163,815 S Aurora St Unit B104,38.898893749936455
66,34.172501164802163,815 S Aurora St Unit A304,38.898893749936455
67,13.801815171333596,205 Williams St,21.592264934411379
68,34.172501164802163,815 S Aurora St Unit A202,38.898893749936455
69,13.858124394047111,126 College Ave Unit 201,22.674034865158927
70,14.292561833943816,111 Harvard Pl,33.910619595201666
71,34.172501164802163,815 S Aurora St Unit A201,38.898893749936455
72,13.895580057691197,202 Linden Ave Unit 1,19.681585544020614
73,27.850937187335592,605 S Aurora St,32.991282330410421
74,23.671643442798445,301 E State St,36.787875733064681
75,11.981219110812260,238 Dryden Rd Unit 202,20.034835681264834
76,19.362777114764885,116 Ferris Pl Apt 1,22.355838463896660
77,34.172501164802163,815 S Aurora St Unit A103,38.898893749936455
78,9.628041985912366,113 Oak Ave,41.771842885337293
79,34.172501164802163,815 S Aurora St Unit A02,38.898893749936455
