OID_,Origins1hcrswg_Name,FREQUENCY,MEAN_ODLines39kbyk_Total_PublicTransitTime,MAX_ODLines39kbyk_Total_PublicTransitTime,MIN_ODLines39kbyk_Total_PublicTransitTime,STD_ODLines39kbyk_Total_PublicTransitTime
1,1 Candlewyck Dr,9,61.801862047583278,84.213051523322505,34.356547470780733,14.928205188697369
2,100 Graham Rd,10,57.304150084666560,86.737298096265121,20.716264204527782,24.167592645339870
3,1002 N Aurora St,14,38.282460793743851,85.932551559796124,0.992054268192176,25.545590450473075
4,1005 1007 N Aurora St,14,38.222978047679824,86.142691414263865,1.202194122659923,25.551515093841175
5,101 Dryden Rd,14,39.441712796161028,80.633007530375380,5.041219719373007,25.042419045753416
6,102 Highland Pl Apt 1,14,39.256783362552142,81.355097661195302,6.996351514702009,25.187594268734234
7,102 Highland Pl Apt 2,14,39.281747685690483,81.380061984333636,7.021315837840344,25.187594268734234
8,102 Highland Pl Apt 4,14,39.282143805201336,81.380458103844504,7.021711957351202,25.187594268734234
9,102 Wiedmaier Ct,10,69.367059030783125,89.045373954379301,46.602023882147137,13.290895956194936
10,1028 Ellis Hollow Rd,12,53.414571963019796,80.011895702260986,17.779588678332367,18.426898114435311
11,103 Spring Ln,14,39.315486728470901,83.597619319031963,10.927454744515847,25.122592787828840
12,103 Wiedmaier Ct,10,68.978982446058893,88.657297369655069,46.213947297422912,13.290895956194905
13,104 Lake Ave,14,40.398118551671814,83.379177191085034,7.796502988350237,26.676767758633147
14,105 Auburn Rd,4,49.629542050923334,70.546593484552815,41.280879327083333,14.016673122631820
15,105 Dewitt Pl Apt 2,14,39.180997412752554,83.174552794606541,10.504388220090423,25.103982441219706
16,105 Highland Pl,14,39.919471617196002,82.174921036493814,6.962124696742399,25.299232249662968
17,105 Hudson St # 105HUD,14,39.625213435392105,87.839133848600369,7.144900574515883,26.140171191902787
18,105 Worth St,14,45.395827225929345,86.720351903740195,2.807988177972711,25.935802377251516
19,106-112 S Quarry St,14,40.006169554082241,86.044386931424228,8.512204443434209,25.493972137583043
20,106 Wiedmaier Ct,10,70.133652633346259,89.811967556942434,47.368617484710271,13.290895956194875
21,107-109 Hudson St # 107HUD,14,39.918972755704615,88.181853055631635,6.802181367484629,26.206244006914709
22,107 E State St,14,40.440587148860118,88.819610963847055,5.942028054829658,27.039063377952093
23,107 Elmwood Ave,14,45.337534164546398,87.172610775822363,2.385701976194948,25.879503838718247
24,108-110 Hudson St # 108HUD,14,39.906157142534390,88.166901506933030,6.817132916183227,26.203338256790005
25,108 E State St,14,40.345597690523235,88.653379411757498,6.108259606919202,26.983065044956930
26,109 Dewitt Pl Apt 1,14,39.369633074945249,83.363188456799236,10.693023882283125,25.103982441219710
27,109 E State St,14,40.342019881286610,88.647118245593433,6.114520773083276,26.980968093870295
28,109 Williams St,14,38.879776600330949,80.882020709899351,7.195765886929374,25.073506411688779
29,110-112-113 Stewart Ave,14,39.049119026497955,83.023101272723082,10.334710970256570,25.016101351113992
30,110 N Titus Ave,13,40.265961573904711,80.777533384558240,9.594929562196171,23.706979533902000
31,110 Titus # 1A,13,40.372060462557734,80.930787334834804,9.748183512472741,23.750192911568423
32,111 Blair St,14,41.585737368487067,84.469785936962296,8.877998125959939,25.192456465358831
33,111 Dryden Rd,14,39.696399087659181,80.620794640640995,4.149817699129454,24.916121684589676
34,111 Harvard Pl,14,43.223064517641106,85.132672432569322,3.982046531811778,25.878672532178289
35,112-114 Schuyler Pl,14,39.434184331275951,85.574188688874742,12.168643192048668,25.260673687969199
36,112 E State St,14,40.377967535214246,88.710026639966785,6.051612378709923,27.002077441941296
37,112 Sapsucker Woods Rd,12,63.266237629185582,88.384889122968545,28.174508274624348,19.147368503054576
38,112 Summit St,14,41.367320584482627,83.968401599023210,0.995642791063620,25.348936323361322
39,113 N Quarry St,14,39.969696401378336,84.420744135378655,8.828956324376305,25.137454651779279
40,113 Oak Ave,14,40.262342098150569,82.985108452757373,0.682473316219671,24.941232199942537
41,114 Birdseye View Dr,11,53.393910093589739,82.103299884530884,8.319888300690835,21.101903479508877
42,114 Overlook Rd Apt 3,13,37.660285650852622,79.271543044630150,11.686759539690527,19.339824898253891
43,114 Stewart Ave,14,39.051478459196240,83.028606615685746,10.340216313219234,25.016216636213148
44,115 Prospect St # 1,14,41.110190706748064,89.964172009169587,8.270866649083015,26.176776737252080
45,115 Prospect St # 2,14,41.110190706748064,89.964172009169587,8.270866649083015,26.176776737252080
46,116 Ferris Pl Apt 1,14,40.051559624359527,85.932536525926352,7.564061632070733,25.263152744641420
47,116 Ferris Pl Apt 2,14,40.028523596340186,85.892223476892511,7.604374681104582,25.265419055336938
48,116 Ferris Pl Apt 3,14,40.060135614464521,85.947544508610093,7.549053649386997,25.262320895260746
49,117 Prospect St,14,41.000408204842714,89.810476506502098,8.117171146415529,26.141237202784492
50,118 Ferris Pl,14,40.102791621472605,86.022192520874256,7.474405637122835,25.258279050865536
51,118 Ferris Pl Apt 1,14,40.060482854363435,85.948152178433190,7.548445979563907,25.262287349506405
52,118 Ferris Pl Apt 2,14,40.060482854363435,85.948152178433190,7.548445979563907,25.262287349506405
53,118 Ferris Pl Apt 3,14,40.104023873071199,86.024348961171782,7.472249196825302,25.258164657896959
54,119-121 Prospect St # 119PRO,14,40.868956896323660,89.626444674575424,7.933139314488849,26.099247296312747
55,119 Stewart Ave # 119STE,14,38.946146039587525,82.526628159296678,9.333915150084279,25.055888215921023
56,121 Cascadilla Ave Apt 1,14,39.315226343433899,82.725835895374900,8.489457696897304,26.142912133976008
57,121 Cascadilla Ave Apt 3,14,39.285704243427737,82.674172220364099,8.541121371908099,26.126749948490055
58,123 Columbia St # 123COL,13,37.627212432516927,76.739879779276535,5.430038116017955,22.971995636161694
59,124 Roberts Pl,13,37.426474752030572,74.119251270036656,16.579636842959818,17.838372683675004
60,124 Sears St Apt 1,14,39.840317680185265,83.535607090611435,7.679686501660772,26.364504722508386
61,125 Highland Pl Apt 1,14,40.068973391588791,82.090409533500164,6.498621722497794,25.254586936920781
62,126 College Ave Unit 201,14,41.664517820758910,82.274377953882947,6.682590142880572,24.787177536386892
63,126 College Ave Unit 401,14,41.664517820758910,82.274377953882947,6.682590142880572,24.787177536386892
64,127 College Ave,14,41.360228441245127,81.919373677783540,6.327585866781158,24.717200776569424
65,128 Sapsucker Woods Rd,12,64.769941472123293,89.888592965906270,29.678212117562065,19.147368503054590
66,129 College Ave,14,41.243636560790307,81.791740233326394,6.199952422324016,24.702132505238261
67,135 Coddington Rd,13,46.085557693373012,86.153080504857400,9.955215109136514,22.010210639712692
68,139 Coddington Rd # 139COD,13,45.431650251585602,85.369668140243959,9.171802744523076,22.021616855930805
69,140 Seneca Way,14,39.246292526966805,86.889496787103795,10.061761263600587,26.069192045057335
70,144-313 Linn St,14,39.161059530144527,80.556626061625423,9.190885476713600,25.359283238021380
71,151 Dryden Rd,14,39.889260149202741,81.265790083331154,3.384749165590044,24.818718389341228
72,1601 E Shore Dr,10,73.212822317886520,83.433649678166972,50.547822443611324,9.661154344092775
73,1601 E Shore Dr Unit B,10,73.255790132033809,83.541069213535181,50.655241978979547,9.650589421092077
74,166 Bush Ln,7,62.516981693403814,86.070508599886409,26.107101163914550,22.067140123635561
75,1718 Ellis Hollow Rd,1,50.780388731182100,50.780388731182100,50.780388731182100,0.000000000000000
76,192-198 Pinckney Rd,4,74.408708259479553,84.425406263640255,51.892299725494681,15.334754913605254
77,1B Deibler Dr,4,51.394586828767459,71.567502410305124,32.958678124649353,19.395290026203440
78,200 Conifer Dr,9,64.247514442400274,88.357645617042721,28.306132352912051,17.275616827639549
79,200 W Hill Cir,8,75.506611705458695,88.088549085743054,50.862695813123565,13.189640907137568
80,202 Dryden Rd,14,40.140909532768625,81.197057568941247,3.316016651200142,24.747595368495301
81,202 Linden-4 Bedroom Btb Ave Unit 203,14,41.669672439057216,82.311833617527029,6.443427491853813,24.834767250042109
82,202 Linden Ave Unit 1,14,41.669672439057216,82.311833617527029,6.443427491853813,24.834767250042109
83,202 Linden Ave Unit 303,14,41.669672439057216,82.311833617527029,6.443427491853813,24.834767250042109
84,205 Williams St,14,39.286551576589758,81.451505676661668,6.626280920167056,25.267815987132028
