"placeId","cid","title","street","city","state","categoryName","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","temporarilyClosed","reviewsCount","price","imagesCount","isAdvertisement","description","permanentlyClosed","url","rank","totalScore","location/lat","location/lng"
"ChIJq6rqa6-B0IkRLQFcDr87bmw","7813248095300092205","Handwerker Gallery","1170 Gannett Ctr","Ithaca","New York","Museum","Monday","10 AM to 6 PM","Tuesday","Closed","Wednesday","10 AM to 6 PM","Thursday","10 AM to 9 PM","Friday","10 AM to 6 PM","Saturday","12 to 5 PM","Sunday","12 to 5 PM","false","6",,"8","false",,"false","https://www.google.com/maps/place/Handwerker+Gallery/@42.4212157,-76.4950752,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081af6beaaaab:0x6c6e3bbf0e5c012d!8m2!3d42.4212157!4d-76.4950752!16s%2Fg%2F1tdgwch7?hl=en&entry=ttu","8","4.7","42.4212157","-76.4950752"
"ChIJX2qp_jeB0IkRDvio7RjYiXc","8613653363900872718","Neighbors Art Gallery","526 Elm St Ext","Ithaca","New York","Museum","Monday","Closed","Tuesday","Closed","Wednesday","Closed","Thursday","Closed","Friday","Closed","Saturday","2 to 4 PM","Sunday","2 to 4 PM","false","0",,"2","false",,"false","https://www.google.com/maps/place/Neighbors+Art+Gallery/@42.4365103,-76.5298452,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08137fea96a5f:0x7789d818eda8f80e!8m2!3d42.4365103!4d-76.5298452!16s%2Fg%2F11g4gz_0sd?hl=en&entry=ttu","38",,"42.4365103","-76.5298452"
"ChIJGTzK-KeB0IkRuvWye9o_pZ8","11503671030798546362","Tamarack Design","950 Danby Rd","Ithaca","New York","Museum",,,,,,,,,,,,,,,"false","0",,"1","false",,"false","https://www.google.com/maps/place/Tamarack+Design/@42.4232182,-76.5020895,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081a7f8ca3c19:0x9fa53fda7bb2f5ba!8m2!3d42.4232182!4d-76.5020895!16s%2Fg%2F11f63y8hqb?hl=en&entry=ttu","30",,"42.4232182","-76.5020895"
"ChIJYcby3u-D0IkRJpAHcv5w52M","7198846767512129574","Museum of The Earth","1301 Trumansburg Rd","Ithaca","New York","Bus stop",,,,,,,,,,,,,,,"false","0",,,"false",,"false","https://www.google.com/maps/place/Museum+of+The+Earth/@42.4672,-76.53699,17z/data=!3m1!4b1!4m6!3m5!1s0x89d083efdef2c661:0x63e770fe72079026!8m2!3d42.4672!4d-76.53699!16s%2Fg%2F11g02fd73l?hl=en&entry=ttu","56",,"42.4672","-76.53699"
"ChIJ-ZTaCu6G0IkR0hQmSM_2Oxg","1746260650665317586","Crystal's Point","25-137 Enfield Center Rd E","Ithaca","New York","Museum",,,,,,,,,,,,,,,"true","0",,,"false",,"false","https://www.google.com/maps/place/Crystal's+Point/@42.435836,-76.574358,17z/data=!3m1!4b1!4m6!3m5!1s0x89d086ee0ada94f9:0x183bf6cf482614d2!8m2!3d42.435836!4d-76.574358!16s%2Fg%2F11c5bsz289?hl=en&entry=ttu","51",,"42.435836","-76.574358"
"ChIJ01Z2OyiB0IkRfuMbI-czxdI","15187602386196358014","Timothy N. Heasley Mineralogy Museum","Snee Hall, 112 Hollister Dr","Ithaca","New York","Museum",,,,,,,,,,,,,,,"false","0",,"1","false",,"false","https://www.google.com/maps/place/Timothy+N.+Heasley+Mineralogy+Museum/@42.4434632,-76.4851007,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081283b7656d3:0xd2c533e7231be37e!8m2!3d42.4434632!4d-76.4851007!16s%2Fg%2F11s8s_m3h4?hl=en&entry=ttu","27",,"42.4434632","-76.4851007"
"ChIJAQAAgfWB0IkRS1G5IwUXie8","17260352357715759435","LHB Hortorium Museum","412 Mann Library","Ithaca","New York","Museum","Monday","8 AM to 4:30 PM","Tuesday","8 AM to 4:30 PM","Wednesday","8 AM to 4:30 PM","Thursday","8 AM to 4:30 PM","Friday","8 AM to 4:30 PM","Saturday","Closed","Sunday","Closed","false","2",,"2","false",,"false","https://www.google.com/maps/place/LHB+Hortorium+Museum/@42.4487577,-76.4764146,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081f581000001:0xef89170523b9514b!8m2!3d42.4487577!4d-76.4764146!16s%2Fg%2F1wj_v7lg?hl=en&entry=ttu","23","4.5","42.4487577","-76.4764146"
"ChIJhbX-U4F42okRRKPd9PGaNmM","7149071822483202884","Cornell University Museum of Vertebrates","Imogene Powers Johnson Center for Birds and Biodiversity, 159 Sapsucker Woods Rd","Ithaca","New York","Natural history museum","Monday","9 AM to 5 PM","Tuesday","9 AM to 5 PM","Wednesday","9 AM to 5 PM","Thursday","9 AM to 5 PM","Friday","9 AM to 5 PM","Saturday","Closed","Sunday","Closed","false","4",,"1","false",,"false","https://www.google.com/maps/place/Cornell+University+Museum+of+Vertebrates/@42.4799468,-76.4508641,17z/data=!3m1!4b1!4m6!3m5!1s0x89da788153feb585:0x63369af1f4dda344!8m2!3d42.4799468!4d-76.4508641!16s%2Fg%2F1hc2bpcc2?hl=en&entry=ttu","5","4.8","42.4799468","-76.4508641"
"ChIJj4MZoH-B0IkRyGBFpk7ffSA","2341272910192533704","Sciencenter","601 1st St","Ithaca","New York","Science museum","Monday","Closed","Tuesday","10 AM to 5 PM","Wednesday","10 AM to 5 PM","Thursday","10 AM to 5 PM","Friday","10 AM to 5 PM","Saturday","10 AM to 5 PM","Sunday","10 AM to 5 PM","false","1226",,"2364","false","Children's museum exploring science & nature, with interactive exhibits, education programs & camps.","false","https://www.google.com/maps/place/Sciencenter/@42.449849,-76.504065,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0817fa019838f:0x207ddf4ea64560c8!8m2!3d42.449849!4d-76.504065!16s%2Fm%2F047rsnb?hl=en&entry=ttu","6","4.7","42.449849","-76.504065"
"ChIJx6N8-ZqB0IkRoAZKOxKh82g","7562565298961385120","The History Center in Tompkins County","110 N Tioga St","Ithaca","New York","History museum","Monday","Closed","Tuesday","Closed","Wednesday","10 AM to 5 PM","Thursday","10 AM to 5 PM","Friday","10 AM to 5 PM","Saturday","10 AM to 5 PM","Sunday","Closed","false","13",,"146","false",,"false","https://www.google.com/maps/place/The+History+Center+in+Tompkins+County/@42.440003,-76.4969629,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0819af97ca3c7:0x68f3a1123b4a06a0!8m2!3d42.440003!4d-76.4969629!16s%2Fg%2F1trxfp4c?hl=en&entry=ttu","4","5","42.440003","-76.4969629"
