"placeId","cid","title","street","city","state","categoryName","temporarilyClosed","reviewsCount","price","imagesCount","isAdvertisement","description","permanentlyClosed","url","rank","totalScore","location/lat","location/lng"
"ChIJXymQE12C0IkRm6s5UeTimjs","4294994664894344091","JOANN Fabric and Crafts","2309 N Triphammer Rd Unit 1","Ithaca","New York","Craft store","false","238","$$","16","false","Chain providing a wide range of fabrics, plus sewing & arts & crafts supplies (most offer classes).","false","https://www.google.com/maps/place/JOANN+Fabric+and+Crafts/@42.4833835,-76.4840519,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0825d1390295f:0x3b9ae2e45139ab9b!8m2!3d42.4833835!4d-76.4840519!16s%2Fg%2F1tdl2jvr?hl=en&entry=ttu","43","4.2","42.4833835","-76.4840519"
"ChIJaW42TniB0IkRBn0L81X-V4U","9608427975121534214","salem25","420 Cascadilla St","Ithaca","New York","Custom t-shirt store","true","0",,"6","false",,"false","https://www.google.com/maps/place/salem25/@42.4446229,-76.5048501,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081784e366e69:0x8557fe55f30b7d06!8m2!3d42.4446229!4d-76.5048501!16s%2Fg%2F1v_0kqp5?hl=en&entry=ttu","45",,"42.4446229","-76.5048501"
"ChIJ21VEeX6C0IkRtJJtybAUrKg","12154112243892327092","Recycled Threads Inc dba MojoWoman","225 S Fulton St Apartment 2","Ithaca","New York","Women's clothing store","true","0",,"1","false",,"false","https://www.google.com/maps/place/Recycled+Threads+Inc+dba+MojoWoman/@42.4374702,-76.5086133,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0827e794455db:0xa8ac14b0c96d92b4!8m2!3d42.4374702!4d-76.5086133!16s%2Fg%2F1vk6_6f4?hl=en&entry=ttu","44",,"42.4374702","-76.5086133"
"ChIJd5TQDg6B0IkRbpGn-FwbWGE","7014386505752220014","Walmart Supercenter","135 Fairgrounds Memorial Pkwy","Ithaca","New York","Department store","false","3015","$","753","false",,"false","https://www.google.com/maps/place/Walmart+Supercenter/@42.427751,-76.5137766,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0810e0ed09477:0x61581b5cf8a7916e!8m2!3d42.427751!4d-76.5137766!16s%2Fm%2F03nzvkr?hl=en&entry=ttu","34","3.7","42.427751","-76.5137766"
"ChIJscpR6BuB0IkRfweiTt4vEZs","11173764782331398015","Tractor Supply Co.","378 Elmira Rd","Ithaca","New York","Animal feed store","false","249","$$","13","false","Chain with a wide variety of agricultural & livestock supplies, plus tools, workwear & boots.","false","https://www.google.com/maps/place/Tractor+Supply+Co./@42.4211577,-76.5195568,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0811be851cab1:0x9b112fde4ea2077f!8m2!3d42.4211577!4d-76.5195568!16s%2Fg%2F1vc_rbc7?hl=en&entry=ttu","42","4.4","42.4211577","-76.5195568"
"ChIJ721JIh-B0IkRHQgB-HgJHKA","11537106760577910813","Maurices","410 Elmira Rd","Ithaca","New York","Women's clothing store","false","0","$$","1","false","Women's clothing chain for current fashions in a range of sizes, plus footwear & accessories.","true","https://www.google.com/maps/place/Maurices/@42.4204118,-76.5215003,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0811f22496def:0xa01c0978f801081d!8m2!3d42.4204118!4d-76.5215003!16s%2Fg%2F1tj3435d?hl=en&entry=ttu","38",,"42.4204118","-76.5215003"
"ChIJFdtZlnqB0IkRXVN0tSi1jc8","14955809124014904157","Sustainable Passion","311 N Meadow St","Ithaca","New York","Boutique","false","4",,"8","false",,"false","https://www.google.com/maps/place/Sustainable+Passion/@42.4416496,-76.508209,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0817a9659db15:0xcf8db528b574535d!8m2!3d42.4416496!4d-76.508209!16s%2Fg%2F1pv1gwv14?hl=en&entry=ttu","37","5","42.4416496","-76.508209"
"ChIJLcNWa-eP0IkRAylKJVSMQBY","1603435760374655235","Gemm Shop","17 W Main St","Trumansburg","New York","Used clothing store","false","32",,"2","false",,"false","https://www.google.com/maps/place/Gemm+Shop/@42.5419806,-76.6628028,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08fe76b56c32d:0x16408c54254a2903!8m2!3d42.5419806!4d-76.6628028!16s%2Fg%2F1tctgl95?hl=en&entry=ttu","35","4.7","42.5419806","-76.6628028"
"ChIJY907F-eP0IkRiazGJJKJO28","8015151222611160201","Sundrees","9 W Main St","Trumansburg","New York","Gift shop","false","35",,"62","false",,"false","https://www.google.com/maps/place/Sundrees/@42.5419502,-76.6627349,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08fe7173bdd63:0x6f3b899224c6ac89!8m2!3d42.5419502!4d-76.6627349!16s%2Fg%2F1v3kjh8_?hl=en&entry=ttu","34","4.9","42.5419502","-76.6627349"
"ChIJnyNxx5yB0IkR7rcN8ZHGBf8","18376312184671942638","Cat's Pajamas","99 E Seneca St","Ithaca","New York","General store","false","11",,"43","false",,"false","https://www.google.com/maps/place/Cat's+Pajamas/@42.4408309,-76.4987705,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0819cc771239f:0xff05c691f10db7ee!8m2!3d42.4408309!4d-76.4987705!16s%2Fg%2F1tv253g7?hl=en&entry=ttu","32","4.7","42.4408309","-76.4987705"
"ChIJ059901uC0IkR8Z77VGDKpH8","9197698854088842993","Spencers","The Shops At Ithaca Mall, 40 Catherwood Rd Ste F14 F14","Ithaca","New York","T-shirt store","false","101","$$","7","false","Mall-based retail chain offering novelty goods & apparel, plus a selection of adult products.","false","https://www.google.com/maps/place/Spencers/@42.4831959,-76.4908441,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0825bd37d9fd3:0x7fa4ca6054fb9ef1!8m2!3d42.4831959!4d-76.4908441!16s%2Fg%2F1tlvqhw8?hl=en&entry=ttu","25","4.2","42.4831959","-76.4908441"
"ChIJqaeY6huB0IkRyifGeZb-df0","18263783786112493514","Thrifty Shopper","376 Elmira Rd","Ithaca","New York","Thrift store","false","138",,"47","false",,"false","https://www.google.com/maps/place/Thrifty+Shopper/@42.4212289,-76.5185911,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0811bea98a7a9:0xfd75fe9679c627ca!8m2!3d42.4212289!4d-76.5185911!16s%2Fg%2F11b7fksp4z?hl=en&entry=ttu","26","4.1","42.4212289","-76.5185911"
"ChIJl7p4LA1_0IkRyGfip752Ams","7710856073244207048","The Snazzy Boutique","6 Curtis Rd","Ithaca","New York","Boutique","false","0",,,"false",,"false","https://www.google.com/maps/place/The+Snazzy+Boutique/@42.3419141,-76.4673999,17z/data=!3m1!4b1!4m6!3m5!1s0x89d07f0d2c78ba97:0x6b0276bea7e267c8!8m2!3d42.3419141!4d-76.4673999!16s%2Fg%2F11sjtqw6wq?hl=en&entry=ttu","20",,"42.3419141","-76.4673999"
"ChIJKaOTClqC0IkR7_zzRFNQ-h0","2160127289846922479","Target","40 Catherwood Rd","Ithaca","New York","Department store","false","340","$$","823","false","Retail chain offering home goods, clothing, electronics & more, plus exclusive designer collections.","false","https://www.google.com/maps/place/Target/@42.4851799,-76.4908905,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0825a0a93a329:0x1dfa505344f3fcef!8m2!3d42.4851799!4d-76.4908905!16s%2Fg%2F1thnprlh?hl=en&entry=ttu","18","4.3","42.4851799","-76.4908905"
"ChIJx_5lmbWB0IkRNyZmfShLZ-I","16314090812447532599","Evergreen Ithaca","609 W Clinton St Unit 111","Ithaca","New York","Used clothing store","false","185",,"29","false",,"false","https://www.google.com/maps/place/Evergreen+Ithaca/@42.43612,-76.5062772,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081b59965fec7:0xe2674b287d662637!8m2!3d42.43612!4d-76.5062772!16s%2Fg%2F11tk86hy42?hl=en&entry=ttu","17","5","42.43612","-76.5062772"
"ChIJX2DdGECC0IkRNsDrz_UFC80","14774909555832504374","Bev & Co","2255 N Triphammer Rd","Ithaca","New York","Women's clothing store","false","3",,"3","false",,"false","https://www.google.com/maps/place/Bev+%26+Co/@42.4800875,-76.48107,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0824018dd605f:0xcd0b05f5cfebc036!8m2!3d42.4800875!4d-76.48107!16s%2Fg%2F1tqtyvsh?hl=en&entry=ttu","13","4","42.4800875","-76.48107"
"ChIJVf6EgpyB0IkRrcRvsM7WK4g","9812172396368479405","Benjamin Peters","The Ithaca Commons, 120 E State St #5596","Ithaca","New York","Men's clothing store","false","71",,"50","false","Clothing store for classic men's wear, including suits, tuxes & accessories, plus women's shoes.","false","https://www.google.com/maps/place/Benjamin+Peters/@42.4398564,-76.4982054,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0819c8284fe55:0x882bd6ceb06fc4ad!8m2!3d42.4398564!4d-76.4982054!16s%2Fg%2F1tfh_kqg?hl=en&entry=ttu","11","4.7","42.4398564","-76.4982054"
"ChIJOVA42IKB0IkRYpSZ48ZQjl0","6741414507372450914","Mary Durham Boutique","110 W Court St","Ithaca","New York","Clothing store","false","24",,"12","false",,"false","https://www.google.com/maps/place/Mary+Durham+Boutique/@42.4427226,-76.4997704,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08182d8385039:0x5d8e50c6e3999462!8m2!3d42.4427226!4d-76.4997704!16s%2Fg%2F11g6nzhn28?hl=en&entry=ttu","10","4.8","42.4427226","-76.4997704"
"ChIJd5TQDg6B0IkRUuX24rMklzQ","3789537966481139026","Plato's Closet","106 Fairgrounds Memorial Pkwy #500","Ithaca","New York","Used clothing store","false","220",,"15","false","Chain retailer buying & selling trendy secondhand clothing for teens & young adults.","false","https://www.google.com/maps/place/Plato's+Closet/@42.4310612,-76.5121001,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0810e0ed09477:0x349724b3e2f6e552!8m2!3d42.4310612!4d-76.5121001!16s%2Fg%2F1pxq3mvwn?hl=en&entry=ttu","9","3.8","42.4310612","-76.5121001"
"ChIJAdbWgZyB0IkR4Lx5Hlm5zNU","15405892217742146784","Breathe","171 E State St","Ithaca","New York","Women's clothing store","false","2",,"2","false",,"false","https://www.google.com/maps/place/Breathe/@42.4397895,-76.4988473,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0819c81d6d601:0xd5ccb9591e79bce0!8m2!3d42.4397895!4d-76.4988473!16s%2Fg%2F11c1sk12t2?hl=en&entry=ttu","7","5","42.4397895","-76.4988473"
