trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
t1B8-b1BBD-slC,4:40:00,4:40:00,1353,0,,0,0,0,1
t1B8-b1BBD-slC,4:40:32,4:40:32,1342,32,,0,0,657.970497,0
t1B8-b1BBD-slC,4:40:55,4:40:55,1343,55,,0,0,1105.3108,0
t1B8-b1BBD-slC,4:41:28,4:41:28,1345,88,,0,0,1744.774616,0
t1B8-b1BBD-slC,4:43:23,4:43:23,1330,203,,0,0,4122.065138,0
t1B8-b1BBD-slC,4:44:23,4:44:23,1326,263,,0,0,5345.830628,0
t1B8-b1BBD-slC,4:45:16,4:45:16,1524,316,,0,0,6400.649635,0
t1B8-b1BBD-slC,4:46:36,4:46:36,1534,396,,0,0,8038.511408,0
t1B8-b1BBD-slC,4:47:18,4:47:18,1530,438,,0,0,8889.757678,0
t1B8-b1BBD-slC,4:48:00,4:48:00,1716,480,,0,0,9709.26917,1
t1B8-b1BBD-slC,4:49:03,4:49:03,1531,543,,0,0,10633.204508,0
t1B8-b1BBD-slC,4:50:22,4:50:22,1533,622,,0,0,11710.541519,0
t1B8-b1BBD-slC,4:51:16,4:51:16,1541,676,,0,0,12596.255742,0
t1B8-b1BBD-slC,4:52:10,4:52:10,1543,730,,0,0,13335.836813,0
t1B8-b1BBD-slC,4:53:24,4:53:24,1545,804,,0,0,14350.69356,0
t1B8-b1BBD-slC,4:54:50,4:54:50,1547,890,,0,0,15532.937016,0
t1B8-b1BBD-slC,4:56:00,4:56:00,1553,960,,0,0,16504.798772,1
t1CA-b1BBD-slC,4:58:00,4:58:00,1553,0,,0,0,0,1
t1CA-b1BBD-slC,4:58:48,4:58:48,1562,48,,0,0,943.008831,0
t1CA-b1BBD-slC,4:59:34,4:59:34,1564,94,,0,0,1821.095403,0
t1CA-b1BBD-slC,5:00:41,5:00:41,1546,161,,0,0,3133.298494,0
t1CA-b1BBD-slC,5:01:42,5:01:42,1544,222,,0,0,4337.105929,0
t1CA-b1BBD-slC,5:02:32,5:02:32,1542,272,,0,0,5287.18545,0
t1CA-b1BBD-slC,5:03:12,5:03:12,1540,312,,0,0,6113.1881,0
t1CA-b1BBD-slC,5:03:56,5:03:56,1525,356,,0,0,6945.772657,0
t1CA-b1BBD-slC,5:05:07,5:05:07,1327,427,,0,0,8327.706433,0
t1CA-b1BBD-slC,5:05:59,5:05:59,1329,479,,0,0,9329.055994,0
t1CA-b1BBD-slC,5:07:22,5:07:22,1331,562,,0,0,10968.776312,0
t1CA-b1BBD-slC,5:07:51,5:07:51,1347,591,,0,0,11530.041852,0
t1CA-b1BBD-slC,5:08:33,5:08:33,1351,633,,0,0,12288.735411,0
t1CA-b1BBD-slC,5:09:00,5:09:00,1353,660,,0,0,12802.213356,1
t203-b1BBD-slC,5:15:00,5:15:00,1353,0,,0,0,0,1
t203-b1BBD-slC,5:15:38,5:15:38,1342,38,,0,0,657.970497,0
t203-b1BBD-slC,5:16:06,5:16:06,1343,66,,0,0,1105.3108,0
t203-b1BBD-slC,5:16:44,5:16:44,1345,104,,0,0,1744.774616,0
t203-b1BBD-slC,5:19:00,5:19:00,1330,240,,0,0,4122.065138,0
t203-b1BBD-slC,5:20:11,5:20:11,1326,311,,0,0,5345.830628,0
t203-b1BBD-slC,5:21:13,5:21:13,1524,373,,0,0,6400.649635,0
t203-b1BBD-slC,5:22:13,5:22:13,1541,433,,0,0,7417.788755,0
t203-b1BBD-slC,5:22:57,5:22:57,1543,477,,0,0,8157.369827,0
t203-b1BBD-slC,5:23:55,5:23:55,1545,535,,0,0,9172.226574,0
t203-b1BBD-slC,5:25:04,5:25:04,1547,604,,0,0,10354.470029,0
t203-b1BBD-slC,5:26:00,5:26:00,1553,660,,0,0,11326.331785,1
t212-b1BBD-slC,5:30:00,5:30:00,1553,0,,0,0,0,1
t212-b1BBD-slC,5:30:48,5:30:48,1562,48,,0,0,943.008831,0
t212-b1BBD-slC,5:31:34,5:31:34,1564,94,,0,0,1821.095403,0
t212-b1BBD-slC,5:32:41,5:32:41,1546,161,,0,0,3133.298494,0
t212-b1BBD-slC,5:33:42,5:33:42,1544,222,,0,0,4337.105929,0
t212-b1BBD-slC,5:34:32,5:34:32,1542,272,,0,0,5287.18545,0
t212-b1BBD-slC,5:35:12,5:35:12,1540,312,,0,0,6113.1881,0
t212-b1BBD-slC,5:35:56,5:35:56,1525,356,,0,0,6945.772657,0
t212-b1BBD-slC,5:37:07,5:37:07,1327,427,,0,0,8327.706433,0
t212-b1BBD-slC,5:37:59,5:37:59,1329,479,,0,0,9329.055994,0
t212-b1BBD-slC,5:39:22,5:39:22,1331,562,,0,0,10968.776312,0
t212-b1BBD-slC,5:39:51,5:39:51,1347,591,,0,0,11530.041852,0
t212-b1BBD-slC,5:40:33,5:40:33,1351,633,,0,0,12288.735411,0
