,address/locality,address/street,baths,beds,coordinates/latitude,coordinates/longitude,garage,id,listPrice,local/flood/flood_factor_score,local/noise/score,local/wildfire/fire_factor_score,name,sqft,status,stories,type,units,year_built,amenity_count
0,Ithaca,809 S Aurora St,2.0,5.0,42.430851,-76.496069,0.0,4208852367,2625.0,1.0,84.0,3.0,,1300.0,for_rent,1.0,single_family,1.0,,4
1,Ithaca,419 Triphammer Rd,2.0,6.0,42.460409,-76.481516,4.0,4733433667,5000.0,1.0,93.0,2.0,,3200.0,for_rent,2.0,single_family,1.0,1956.0,7
2,Ithaca,517 S Aurora St,2.0,6.0,42.435014,-76.494344,0.0,4090421202,4350.0,1.0,81.0,3.0,,2457.0,for_rent,1.0,single_family,1.0,,0
3,Ithaca,3 Hudson Pl,1.0,2.0,42.430688,-76.493156,0.0,4199200488,1600.0,1.0,84.0,1.0,,900.0,for_rent,1.0,single_family,1.0,,3
4,Ithaca,600 Warren Rd Apt 4-2,1.5,1.5,42.477345,-76.467567,0.0,9934501911,,1.0,75.0,2.0,Warren Wood,894.0,for_rent,1.0,apartment,181.0,,6
5,Ithaca,114 Stewart Ave,3.0,7.0,42.4401,-76.489955,0.0,3898203471,850.0,1.0,77.0,2.0,,0.0,for_rent,1.0,single_family,1.0,,6
6,Ithaca,2250 N Triphammer Rd,1.0,1.0,42.47845,-76.48666,0.0,3702832655,1400.0,1.0,76.0,2.0,Brooklane,550.0,for_rent,1.0,apartment,26.0,,4
7,Ithaca,601 Winston Ct Apt 1,1.0,2.5,42.475689,-76.45789,0.0,3523590622,,1.0,88.0,3.0,Winston Square Apartments,1000.0,for_rent,1.0,apartment,108.0,,5
8,Ithaca,37 Uptown Rd Apt 16D,1.0,1.5,42.480465,-76.475517,0.0,9629301982,,1.0,73.0,2.0,Gaslight Village,925.0,for_rent,1.0,apartment,144.0,,6
9,Ithaca,918 Danby Rd,1.5,3.5,42.426423,-76.499661,0.0,3321251993,,1.0,74.0,3.0,"Ithaca Estates Realty, LLC",0.0,for_rent,1.0,apartment,2.0,,4
10,Ithaca,Ithaca Solar Townhouses,1.0,4.0,,,0.0,9442150501,2350.0,,,,"Ithaca Estates Realty, LLC",1800.0,for_rent,1.0,apartment,8.0,,4
