,address/street,baths,beds,coordinates/latitude,coordinates/longitude,garage,id,listPrice,is_manual,name,sqft,status,stories,type,units,year_built,transit_time_cornell,transit_time_schools,mean_transit_time_food,mean_attraction_food,mean_transit_time_groceries,mean_attraction_groceries
0,809 S Aurora St,2.0,5.0,42.430851,-76.496069,0,4208852367,2625.0,False,,1300.0,for_rent,1,single_family,1,,32.96426570805314,41.66065551170444,28.614509607047268,58.54723494021424,32.67730322881649,32.56069188817663
1,419 Triphammer Rd,2.0,6.0,42.460409,-76.481516,4,4733433667,5000.0,False,,3200.0,for_rent,2,single_family,1,1956.0,18.72665160053901,39.53829236786683,40.99822525112732,30.616059958343605,48.480456715355885,18.194782696751425
2,517 S Aurora St,2.0,6.0,42.435014,-76.494344,0,4090421202,4350.0,False,,2457.0,for_rent,1,single_family,1,,27.15319741193655,37.90517798899152,25.817097036163823,74.61592355219574,31.367245649687916,38.49674880506386
3,3 Hudson Pl,1.0,2.0,42.430688,-76.493156,0,4199200488,1600.0,False,,900.0,for_rent,1,single_family,1,,31.883100629931366,42.72590990338298,30.34374855782796,49.46007528639223,34.69340139574779,29.001821710937737
4,600 Warren Rd Apt 4-2,1.5,1.5,42.477345,-76.467567,0,9934501911,1881.0,True,Warren Wood,894.0,for_rent,1,apartment,181,,52.59518216504727,52.70179535814736,65.9575138082458,17.632660189173365,66.08003778656628,8.122851993588952
5,114 Stewart Ave,3.0,7.0,42.4401,-76.489955,0,3898203471,850.0,False,,0.0,for_rent,1,single_family,1,,17.515750564385772,39.05147845919624,23.78555124895208,82.97391608896842,30.933776177660956,34.70351846871384
6,2250 N Triphammer Rd,1.0,1.0,42.47845,-76.48666,0,3702832655,1400.0,False,Brooklane,550.0,for_rent,1,apartment,26,,50.181615715111285,50.00467562575853,62.35680750291469,25.478747200081216,59.475493269135725,18.28590805842772
7,601 Winston Ct Apt 1,1.0,2.5,42.475689,-76.45789,0,3523590622,1645.0,True,Winston Square Apartments,1000.0,for_rent,1,apartment,108,,57.3608423169494,63.02750565030362,70.65968165116317,14.909270888620505,69.76951663147737,6.68328552458707
8,37 Uptown Rd Apt 16D,1.0,1.5,42.480465,-76.475517,0,9629301982,1519.0,True,Gaslight Village,925.0,for_rent,1,apartment,144,,54.610920782091085,52.26807509378431,65.23730229693963,21.641454807503695,63.76022556676944,17.5548536184421
9,918 Danby Rd,1.5,3.5,42.426423,-76.499661,0,3321251993,2350.0,True,"Ithaca Estates Realty, LLC",0.0,for_rent,1,apartment,2,,39.820772428021755,46.37672194548465,33.27434425789025,44.24582062451297,35.265486011286534,26.572701942078755
10,700 Warren Rd # 18-2,1.5,2.0,42.486946,-76.470795,0,9890806356,1586.5,True,North Wood Apartments,894.0,for_rent,1,apartment,271,,68.26949577686936,58.24848499096705,71.47934834564957,15.206619873507016,66.90772560373439,8.705672246440686
11,704 Triphammer Rd,3.0,4.0,42.462183,-76.483453,0,4700006116,3300.0,False,,1898.0,for_rent,1,single_family,1,,21.522298036160517,39.85272006227611,42.166903837450285,30.182893616819825,49.141481557627365,18.13583149306148
12,607 S Aurora St,2.5,3.5,42.434366,-76.494036,0,4092955286,2565.0,True,"MLR Property Management, LLC",1200.0,for_rent,1,other,15,,28.047412799114127,38.301560828204096,26.326085799446464,72.1725933271505,31.66126367931689,37.71669906442708
13,1601 E Shore Dr,3.0,4.0,42.50913,-76.508012,0,9613463690,3800.0,False,,2000.0,for_rent,1,single_family,1,,95.76308717553135,73.21282231788653,64.66352880793556,17.809751178497876,63.226486269513074,9.465998796505929
14,815 S Aurora St,1.0,1.5,42.430073,-76.49638,0,4904234484,1815.0,True,Live More Ithaca,858.0,for_rent,1,other,97,2023.0,34.03038288743847,42.39873663589428,29.609021901250014,58.90366304938392,33.38804801507338,31.699800776887184
15,220 Giles St,1.0,3.0,42.435254,-76.489183,0,4082595354,2500.0,False,,1600.0,for_rent,1,single_family,1,,23.19945886709884,39.18133123707288,27.391234245923165,62.10208074016949,33.709781748585016,31.226869556731906
16,320 Blackstone Ave,3.0,4.0,42.470508,-76.470348,0,3547694536,3200.0,False,,2100.0,for_rent,1,single_family,1,,46.697986755632286,49.72591889015168,60.8068220034424,21.164281614238707,60.6430185402258,13.137454256883164
17,648 Hudson Upstairs St Unit 648,1.0,3.0,42.43063,-76.492816,0,4072356572,2500.0,False,,0.0,for_rent,1,condos,1,,31.55047247307577,42.49562887171373,30.03115413430694,50.21592583104386,34.4716492911774,29.301106314388424
18,815 S Aurora St Unit A301,1.0,3.0,42.430042,-76.49662,0,9017823863,2050.0,False,,970.0,for_rent,1,condos,1,,34.17250116480216,42.497126212530695,29.741594921178837,59.312803875796135,33.48279353331585,31.618034445847943
19,815 S Aurora St Unit A307,1.0,3.0,42.430042,-76.49662,0,9476339580,900.0,False,,980.0,for_rent,1,condos,1,,34.17250116480216,42.497126212530695,29.741594921178837,59.312803875796135,33.48279353331585,31.618034445847943
