address/street,baths,beds,coordinates/latitude,coordinates/longitude,garage,id,listPrice,is_manual,name,sqft,status,stories,type,units,year_built
809 S Aurora St,2,5,42.430851,-76.496069,0,4208852367,2625.00,FALSE,,1300,for_rent,1,single_family,1,
419 Triphammer Rd,2,6,42.460409,-76.481516,4,4733433667,5000.00,FALSE,,3200,for_rent,2,single_family,1,1956.0
517 S Aurora St,2,6,42.435014,-76.494344,0,4090421202,4350.00,FALSE,,2457,for_rent,1,single_family,1,
3 Hudson Pl,1,2,42.430688,-76.493156,0,4199200488,1600.00,FALSE,,900,for_rent,1,single_family,1,
600 Warren Rd Apt 4-2,1.5,1.5,42.477345,-76.467567,0,9934501911,1881.00,TRUE,Warren Wood,894,for_rent,1,apartment,181,
114 Stewart Ave,3,7,42.4401,-76.489955,0,3898203471,850.00,FALSE,,0,for_rent,1,single_family,1,
2250 N Triphammer Rd,1,1,42.47845,-76.48666,0,3702832655,1400.00,FALSE,Brooklane,550,for_rent,1,apartment,26,
601 Winston Ct Apt 1,1,2.5,42.475689,-76.45789,0,3523590622,1645.00,TRUE,Winston Square Apartments,1000,for_rent,1,apartment,108,
37 Uptown Rd Apt 16D,1,1.5,42.480465,-76.475517,0,9629301982,1519.00,TRUE,Gaslight Village,925,for_rent,1,apartment,144,
918 Danby Rd,1.5,3.5,42.426423,-76.499661,0,3321251993,2350.00,TRUE,"Ithaca Estates Realty, LLC",0,for_rent,1,apartment,2,
Ithaca Solar Townhouses,1,4,,,0,9442150501,2350.00,TRUE,"Ithaca Estates Realty, LLC",1800,for_rent,1,apartment,8,
700 Warren Rd # 18-2,1.5,2,42.486946,-76.470795,0,9890806356,1586.50,TRUE,North Wood Apartments,894,for_rent,1,apartment,271,
704 Triphammer Rd,3,4,42.462183,-76.483453,0,4700006116,3300.00,FALSE,,1898,for_rent,1,single_family,1,
607 S Aurora St,2.5,3.5,42.434366,-76.494036,0,4092955286,2565.00,TRUE,"MLR Property Management, LLC",1200,for_rent,1,other,15,
1601 E Shore Dr,3,4,42.50913,-76.508012,0,9613463690,3800.00,FALSE,,2000,for_rent,1,single_family,1,
815 S Aurora St,1,1.5,42.430073,-76.49638,0,4904234484,1815.00,TRUE,Live More Ithaca,858,for_rent,1,other,97,2023.0
220 Giles St,1,3,42.435254,-76.489183,0,4082595354,2500.00,FALSE,,1600,for_rent,1,single_family,1,
320 Blackstone Ave,3,4,42.470508,-76.470348,0,3547694536,3200.00,FALSE,,2100,for_rent,1,single_family,1,
648 Hudson Upstairs St Unit 648,1,3,42.43063,-76.492816,0,4072356572,2500.00,FALSE,,0,for_rent,1,condos,1,
815 S Aurora St Unit A301,1,3,42.430042,-76.49662,0,9017823863,2050.00,FALSE,,970,for_rent,1,condos,1,
815 S Aurora St Unit A307,1,3,42.430042,-76.49662,0,9476339580,900.00,FALSE,,980,for_rent,1,condos,1,
815 S Aurora St Unit A01,1,3,42.430042,-76.49662,0,9390534105,2730.00,FALSE,,970,for_rent,1,condos,1,
114 Birdseye View Dr,2,3,42.410846,-76.504331,0,3796286251,2075.00,FALSE,,1620,for_rent,1,single_family,1,
