property_url,mls,mls_id,status,style,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage
https://www.realtor.com/realestateandhomes-detail/9439454615,RNTR,8709989,FOR_RENT,APARTMENT,121 Cascadilla Ave,Apt 3,Ithaca,NY,14850,1,1,,400,1910,0,1575,2023-10-17,,,,4,42.443951,-76.497772,,,
https://www.realtor.com/realestateandhomes-detail/9839553811,RNTR,8710070,FOR_RENT,APARTMENT,121 Cascadilla Ave,Apt 1,Ithaca,NY,14850,1,1,,400,1910,0,1275,2023-10-17,,,,3,42.443947,-76.497833,,,
https://www.realtor.com/realestateandhomes-detail/9973483898,AVAL,60912704,FOR_RENT,APARTMENT,3 Hudson Pl,Unit B,Ithaca,NY,14850,2,1,,900,,1,1600,2023-10-16,,,,2,42.430649,-76.493156,,,
https://www.realtor.com/realestateandhomes-detail/4199200488,AVAL,60167274,FOR_RENT,SINGLE_FAMILY,3 Hudson Pl,,Ithaca,NY,14850,2,1,,900,,1,1600,2023-10-16,350000,2022-01-06,,2,42.430688,-76.493156,,,
https://www.realtor.com/realestateandhomes-detail/4240505674,AVAL,60911967,FOR_RENT,SINGLE_FAMILY,166 Bush Ln,,Ithaca,NY,14850,4,3,,1650,,2,2950,2023-10-15,230000,2017-03-08,,2,42.497919,-76.479263,,,
https://www.realtor.com/realestateandhomes-detail/9594562840,RLXB,6194228,FOR_RENT,APARTMENT,308 Fairmount Ave,# 308FAI,Ithaca,NY,14850,,,,,,4,,2023-10-13,,,,,42.440659,-76.480644,,,
https://www.realtor.com/realestateandhomes-detail/9613463690,AVAL,60910324,FOR_RENT,SINGLE_FAMILY,1601 Shore Dr,,Ithaca,NY,14850,4,2,1,2000,,5,3800,2023-10-12,,,,2,42.50913,-76.508012,,,
https://www.realtor.com/realestateandhomes-detail/9764143776,TRBO,697881,FOR_RENT,APARTMENT,114 Overlook Rd,Apt 3,Ithaca,NY,14850,3,1,,1400,,5,2685,2023-10-12,,,,2,42.458683,-76.489548,,,
https://www.realtor.com/realestateandhomes-detail/4859057159,RLXB,2702840,FOR_RENT,APARTMENT,921 Taughannock Blvd,,Ithaca,NY,14850,,,,,,5,,2023-10-12,,,,,42.468463,-76.526988,,,
https://www.realtor.com/realestateandhomes-detail/9356349145,RTEC,59167557,FOR_RENT,APARTMENT,112-114 Schuyler Pl,,Ithaca,NY,14850,3,1,,,,6,775,2023-10-11,,,,,42.439892,-76.492302,,,
https://www.realtor.com/realestateandhomes-detail/9415356472,TRBO,1303142,FOR_RENT,CONDOS,1601 Shore Dr,Unit B,Ithaca,NY,14850,4,2,1,2000,2023,8,3800,2023-10-09,,,,2,42.50922,-76.508728,,,
https://www.realtor.com/realestateandhomes-detail/4700006116,AVAL,60906423,FOR_RENT,SINGLE_FAMILY,704 Triphammer Rd,,Ithaca,NY,14850,4,3,,1898,,8,3300,2023-10-09,325000,2020-10-01,,2,42.462183,-76.483453,,,
https://www.realtor.com/realestateandhomes-detail/3609558692,RLXB,3763649,FOR_RENT,APARTMENT,103 Wiedmaier Ct,,Ithaca,NY,14850,,,,,2015,12,,2023-10-05,,,,,42.413895,-76.44801,,,
https://www.realtor.com/realestateandhomes-detail/3609484160,RLXB,3747420,FOR_RENT,APARTMENT,102 Wiedmaier Ct,,Ithaca,NY,14850,,,,,2014,12,,2023-10-05,1072500,2017-07-28,,,42.414061,-76.44854,,,
https://www.realtor.com/realestateandhomes-detail/3610937531,RLXB,3934235,FOR_RENT,APARTMENT,106 Wiedmaier Ct,,Ithaca,NY,14850,,,,,2007,12,,2023-10-05,357500,2017-07-28,,,42.413681,-76.449093,,,
https://www.realtor.com/realestateandhomes-detail/9262301734,RLXB,8269522,FOR_RENT,APARTMENT,226 Bryant Ave,,Ithaca,NY,14850,,,,,,13,,2023-10-04,,,,,42.440006,-76.482742,,,
https://www.realtor.com/realestateandhomes-detail/3829410541,RLXB,8267885,FOR_RENT,APARTMENT,508 Buffalo St,,Ithaca,NY,14850,,,,,0,14,,2023-10-03,50000,1994-11-04,,,42.44176,-76.491679,,,
https://www.realtor.com/realestateandhomes-detail/4204454986,RLXB,6171153,FOR_RENT,APARTMENT,139 Coddington Rd,# 139COD,Ithaca,NY,14850,,,,,,17,,2023-09-30,94900,1998-04-23,,,42.429824,-76.493388,,,
https://www.realtor.com/realestateandhomes-detail/9811241160,AVAL,60897471,FOR_RENT,APARTMENT,372 Troy Rd,Unit 2,Ithaca,NY,14850,4,2,,1092,,18,2500,2023-09-29,,,,2,42.389908,-76.471977,,,
https://www.realtor.com/realestateandhomes-detail/3702832655,RTBL,4726845,FOR_RENT,APARTMENT,2250 Triphammer Rd,,Ithaca,NY,14850,,,,,,19,,2023-09-28,188000,2021-03-22,,,42.47845,-76.48666,,,
https://www.realtor.com/realestateandhomes-detail/9726967358,RLXB,6147118,FOR_RENT,APARTMENT,324 Pleasant St,,Ithaca,NY,14850,,,,,,20,,2023-09-27,,,,,42.436905,-76.493294,,,
https://www.realtor.com/realestateandhomes-detail/9004372666,RLXB,8259077,FOR_RENT,APARTMENT,202 Dryden Rd,,Ithaca,NY,14850,,,,,0,21,,2023-09-26,,,,,42.441786,-76.484831,,,
https://www.realtor.com/realestateandhomes-detail/9167320806,RLXB,8259035,FOR_RENT,APARTMENT,426 Eddy St,,Ithaca,NY,14850,,,,,0,21,,2023-09-26,,,,,42.442211,-76.487778,,,
https://www.realtor.com/realestateandhomes-detail/9169444932,RLXB,8256907,FOR_RENT,APARTMENT,208 Dryden Rd,,Ithaca,NY,14850,,,,,0,22,,2023-09-25,,,,,42.441923,-76.484635,,,
https://www.realtor.com/realestateandhomes-detail/3155208557,RLXB,8256776,FOR_RENT,APARTMENT,111 Dryden Rd,,Ithaca,NY,14850,,,,,0,22,,2023-09-25,,,,,42.441449,-76.486717,,,
https://www.realtor.com/realestateandhomes-detail/3155134025,RLXB,8256718,FOR_RENT,APARTMENT,151 Dryden Rd,,Ithaca,NY,14850,,,,,0,22,,2023-09-25,,,,,42.441534,-76.485747,,,
https://www.realtor.com/realestateandhomes-detail/3877707202,RLXB,8253903,FOR_RENT,APARTMENT,127 College Ave,,Ithaca,NY,14850,,,,,0,25,,2023-09-22,,,,,42.439056,-76.484797,,,
https://www.realtor.com/realestateandhomes-detail/3744705053,AVAL,60889762,FOR_RENT,SINGLE_FAMILY,402 Esty St,,Ithaca,NY,14850,1,1,,720,,27,1700,2023-09-20,140000,2006-03-17,,2,42.44352,-76.507092,,,
https://www.realtor.com/realestateandhomes-detail/9469354464,RTEC,59327255,FOR_RENT,APARTMENT,207 Kevin Pl,,Ithaca,NY,14850,4,2,,,,27,3180,2023-09-20,,,,,,,,,
