,iso_alpha,Num_People,Year,Place of Birth
0,IRL,285,1920,Ireland
1,ITA,281,1920,Italy
2,HUN,183,1920,Hungary
3,CAN,170,1920,Canada
4,DEU,82,1920,Germany
5,AUT,81,1920,Austria
6,POL,39,1920,Poland
7,GRC,33,1920,Greece
8,USA,26,1920,United States
9,SWE,24,1920,Sweden
10,MEX,20,1920,Mexico
11,SYR,16,1920,Syria
12,FRA,15,1920,France
13,CHE,13,1920,Switzerland
14,GEO,13,1920,Georgia
15,PRI,9,1920,Puerto Rico
16,NOR,8,1920,Norway
17,DNK,7,1920,Denmark
18,BEL,6,1920,Belgium
19,CUB,6,1920,Cuba
20,SVK,4,1920,Slovakia
21,ESP,4,1920,Spain
22,PHL,3,1920,Philippines
23,FIN,3,1920,Finland
24,CRI,2,1920,Costa Rica
25,SRB,2,1920,Serbia
26,CHN,2,1920,China
27,BMU,2,1920,Bermuda
28,LTU,1,1920,Lithuania
29,EST,1,1920,Estonia
30,ROU,1,1920,Romania
31,IND,1,1920,India
32,PRY,1,1920,Paraguay
33,ARM,1,1920,Armenia
34,PER,1,1920,Peru
35,JAM,1,1920,Jamaica
36,PAN,1,1920,Panama
37,ITA,493,1930,Italy
38,IRL,210,1930,Ireland
39,CAN,196,1930,Canada
40,HUN,175,1930,Hungary
41,DEU,93,1930,Germany
42,SYR,57,1930,Syria
43,GEO,54,1930,Georgia
44,POL,45,1930,Poland
45,GRC,43,1930,Greece
46,USA,38,1930,United States
47,AUT,32,1930,Austria
48,SWE,30,1930,Sweden
49,MEX,20,1930,Mexico
50,PRI,15,1930,Puerto Rico
51,CHE,15,1930,Switzerland
52,CHN,15,1930,China
53,NOR,13,1930,Norway
54,FRA,11,1930,France
55,PHL,9,1930,Philippines
56,DNK,8,1930,Denmark
57,JPN,6,1930,Japan
58,CUB,5,1930,Cuba
59,FIN,5,1930,Finland
60,ROU,4,1930,Romania
61,LTU,4,1930,Lithuania
62,ESP,4,1930,Spain
63,BEL,3,1930,Belgium
64,AUS,2,1930,Australia
65,BGR,2,1930,Bulgaria
66,CRI,2,1930,Costa Rica
67,ISL,2,1930,Iceland
68,NZL,2,1930,New Zealand
69,BMU,2,1930,Bermuda
70,IND,2,1930,India
71,ZAF,2,1930,South Africa
72,PER,2,1930,Peru
73,ARG,1,1930,Argentina
74,BRA,1,1930,Brazil
75,ITA,422,1940,Italy
76,CAN,200,1940,Canada
77,IRL,156,1940,Ireland
78,HUN,142,1940,Hungary
79,DEU,94,1940,Germany
80,SYR,55,1940,Syria
81,AUT,54,1940,Austria
82,GRC,53,1940,Greece
83,POL,48,1940,Poland
84,GEO,46,1940,Georgia
85,CHN,42,1940,China
86,PRI,24,1940,Puerto Rico
87,SWE,15,1940,Sweden
88,FIN,15,1940,Finland
89,THA,14,1940,Thailand
90,MEX,11,1940,Mexico
91,FRA,11,1940,France
92,NOR,10,1940,Norway
93,CHE,9,1940,Switzerland
94,VEN,9,1940,Venezuela
95,ARG,8,1940,Argentina
96,CUB,8,1940,Cuba
97,IND,8,1940,India
98,DNK,7,1940,Denmark
99,PHL,6,1940,Philippines
100,HTI,5,1940,Haiti
101,LTU,4,1940,Lithuania
102,CHL,4,1940,Chile
103,BEL,4,1940,Belgium
104,ESP,4,1940,Spain
105,USA,3,1940,United States
106,BMU,3,1940,Bermuda
107,BGR,3,1940,Bulgaria
108,ARM,2,1940,Armenia
109,COL,2,1940,Colombia
110,ROU,2,1940,Romania
111,ZAF,2,1940,South Africa
112,CRI,2,1940,Costa Rica
113,PAN,1,1940,Panama
114,JAM,1,1940,Jamaica
115,BRA,1,1940,Brazil
116,PER,1,1940,Peru
117,GTM,1,1940,Guatemala
118,URY,1,1940,Uruguay
119,HKG,1,1940,Hong Kong
120,NLD,1,1940,Netherlands
121,SVK,1,1940,Slovakia
122,ISL,1,1940,Iceland
123,AUS,1,1940,Australia
