"placeId","cid","title","street","city","state","categoryName","temporarilyClosed","reviewsCount","price","imagesCount","isAdvertisement","description","permanentlyClosed","url","rank","totalScore","location/lat","location/lng"
"ChIJwe2Rdo6B0IkRbak25_BKC0I","4758979829778786669","D.P. Dough","408 College Ave","Ithaca","New York","Italian restaurant","false","314","$","89","false","Local chain open late for calzones with diverse fillings, including chili dog & cheesecake versions.","false","https://www.google.com/maps/place/D.P.+Dough/@42.4419763,-76.4854161,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818e7691edc1:0x420b4af0e736a96d!8m2!3d42.4419763!4d-76.4854161!16s%2Fg%2F1tjdh577?hl=en&entry=ttu","20","3.9","42.4419763","-76.4854161"
"ChIJo8Lj3o2B0IkRM5Lp3TT2GRs","1952862620363625011","Oishii Bowl","401 College Ave","Ithaca","New York","Japanese restaurant","false","204","$","202","false","Straightforward counter-serve joint offering typical Japanese noodle soups & rice bowls.","false","https://www.google.com/maps/place/Oishii+Bowl/@42.4417167,-76.4851229,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818ddee3c2a3:0x1b19f634dde99233!8m2!3d42.4417167!4d-76.4851229!16s%2Fg%2F1ptzfq25h?hl=en&entry=ttu","19","4.3","42.4417167","-76.4851229"
"ChIJpe4CULx72okR7CKNIJW3VG4","7950181093339898604","Village Taqueria and Grill","151 North St","Dryden","New York","Taco restaurant","false","258","$","99","false",,"false","https://www.google.com/maps/place/Village+Taqueria+and+Grill/@42.5016815,-76.2986118,17z/data=!3m1!4b1!4m6!3m5!1s0x89da7bbc5002eea5:0x6e54b795208d22ec!8m2!3d42.5016815!4d-76.2986118!16s%2Fg%2F11fsp1qcpc?hl=en&entry=ttu","20","4.7","42.5016815","-76.2986118"
"ChIJLc2tNsZx2okR-N4RuOXYZZs","11197594529673895672","Elm Tree Inn","2 McLean Rd","McLean","New York","American restaurant","false","100","$","15","false",,"false","https://www.google.com/maps/place/Elm+Tree+Inn/@42.5525592,-76.2910835,17z/data=!3m1!4b1!4m6!3m5!1s0x89da71c636adcd2d:0x9b65d8e5b811def8!8m2!3d42.5525592!4d-76.2910835!16s%2Fg%2F1tf58wxp?hl=en&entry=ttu","19","4.5","42.5525592","-76.2910835"
"ChIJCWt7n1uC0IkRGLMUyFmyI5o","11106917204704408344","Mitsuba 成都印象","2300 N Triphammer Rd","Ithaca","New York","Japanese restaurant","false","310","$$","797","false",,"false","https://www.google.com/maps/place/Mitsuba+%E6%88%90%E9%83%BD%E5%8D%B0%E8%B1%A1/@42.481792,-76.485444,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0825b9f7b6b09:0x9a23b259c814b318!8m2!3d42.481792!4d-76.485444!16s%2Fg%2F1pty_10fr?hl=en&entry=ttu","18","4","42.481792","-76.485444"
"ChIJrUH84Y2B0IkRVl6DSs39uPA","17345893022977711702","Koko","321 College Ave","Ithaca","New York","Korean restaurant","false","238","$$","113","false","Casual storefront eatery serving up traditional Korean dishes, including lunch boxes.","false","https://www.google.com/maps/place/Koko/@42.4413146,-76.4850344,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818de1fc41ad:0xf0b8fdcd4a835e56!8m2!3d42.4413146!4d-76.4850344!16s%2Fg%2F1tmpwz18?hl=en&entry=ttu","18","4","42.4413146","-76.4850344"
"ChIJv4e0_nyC0IkR7xcO2v5b38g","14474388877530241007","The Bistro – Eat. Drink. Connect.®","29 Thornwood Dr","Ithaca","New York","Bistro","false","9",,"1","false",,"false","https://www.google.com/maps/place/The+Bistro+%E2%80%93+Eat.+Drink.+Connect.%C2%AE/@42.4833424,-76.4652584,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0827cfeb487bf:0xc8df5bfeda0e17ef!8m2!3d42.4833424!4d-76.4652584!16s%2Fg%2F1ptx4dhmy?hl=en&entry=ttu","17","4.1","42.4833424","-76.4652584"
"ChIJfUKGBOh42okRreSZpqIw_pM","10664014442797851821","Antlers Restaurant","1159 Dryden Rd","Ithaca","New York","Steak house","false","673","$$","387","false","Surf ’n’ turf, pasta & other staples are served at this quaint venue with a warm ambiance.","false","https://www.google.com/maps/place/Antlers+Restaurant/@42.4620012,-76.4223672,17z/data=!3m1!4b1!4m6!3m5!1s0x89da78e80486427d:0x93fe30a2a699e4ad!8m2!3d42.4620012!4d-76.4223672!16s%2Fg%2F1tdhf_j4?hl=en&entry=ttu","16","4.6","42.4620012","-76.4223672"
"ChIJsdoK3MOB0IkR1f9RtPqLKeg","16729056199727775701","Lev Kitchen","222 E State St","Ithaca","New York","Middle Eastern restaurant","false","181","$$","127","false",,"false","https://www.google.com/maps/place/Lev+Kitchen/@42.4397568,-76.4958783,17z/data=!3m1!4b1!4m6!3m5!1s0x89d081c3dc0adab1:0xe8298bfab451ffd5!8m2!3d42.4397568!4d-76.4958783!16s%2Fg%2F11smhrw_mv?hl=en&entry=ttu","17","4.5","42.4397568","-76.4958783"
"ChIJbYx4epuB0IkRIYY6n9pRh5M","10630555444847478305","Taste of Thai","216 E State St","Ithaca","New York","Thai restaurant","false","407","$$","163","false","Buzzy eatery serves noodle dishes, spring rolls & lunch specials amid Thai sculptures & art.","false","https://www.google.com/maps/place/Taste+of+Thai/@42.4398126,-76.4960836,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0819b7a788c6d:0x938751da9f3a8621!8m2!3d42.4398126!4d-76.4960836!16s%2Fg%2F1tdm99d1?hl=en&entry=ttu","16","4","42.4398126","-76.4960836"
